"No.","Time","Source","Destination","Protocol","Length","Info"
"6637","16.810765","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5206568 Win=49988 Len=0 TSval=3071744725 TSecr=657514833"
"6638","16.810834","198.189.66.48","10.35.98.216","TLSv1.2","1460","Application Data"
"6639","16.810837","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5207962 Ack=5776 Win=489 Len=1394 TSval=657514833 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6640","16.810956","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5209356 Ack=5776 Win=489 Len=1394 TSval=657514833 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6641","16.810958","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5210750 Ack=5776 Win=489 Len=1394 TSval=657514833 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6642","16.810967","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5209356 Win=49988 Len=0 TSval=3071744725 TSecr=657514833"
"6643","16.811011","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5212144 Win=49988 Len=0 TSval=3071744725 TSecr=657514833"
"6644","16.811079","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5212144 Ack=5776 Win=489 Len=1394 TSval=657514833 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6645","16.811082","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5213538 Ack=5776 Win=489 Len=1394 TSval=657514833 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6646","16.811138","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5214932 Win=49988 Len=0 TSval=3071744726 TSecr=657514833"
"6647","16.811201","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5214932 Ack=5776 Win=489 Len=1394 TSval=657514833 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6648","16.811203","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [PSH, ACK] Seq=5216326 Ack=5776 Win=489 Len=1394 TSval=657514833 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6649","16.811259","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5217720 Win=49988 Len=0 TSval=3071744726 TSecr=657514833"
"6650","16.811325","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5217720 Ack=5776 Win=489 Len=1394 TSval=657514834 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6651","16.811327","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5219114 Ack=5776 Win=489 Len=1394 TSval=657514834 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6652","16.811385","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5220508 Win=49988 Len=0 TSval=3071744726 TSecr=657514834"
"6653","16.811446","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5220508 Ack=5776 Win=489 Len=1394 TSval=657514834 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6654","16.811448","198.189.66.48","10.35.98.216","TLSv1.2","1460","Application Data"
"6655","16.811587","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5223296 Ack=5776 Win=489 Len=1394 TSval=657514834 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6656","16.811589","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5224690 Ack=5776 Win=489 Len=1394 TSval=657514834 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6657","16.811598","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5223296 Win=49988 Len=0 TSval=3071744726 TSecr=657514834"
"6658","16.811643","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5226084 Win=49988 Len=0 TSval=3071744726 TSecr=657514834"
"6659","16.812756","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5226084 Ack=5776 Win=489 Len=1394 TSval=657514834 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6660","16.812760","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5227478 Ack=5776 Win=489 Len=1394 TSval=657514834 TSecr=3071744654 [TCP segment of a reassembled PDU]"
